Bloque;Enviada por;Enunciado pregunta;Opcion a;Opcion b;Opcion c;Opcion d;Respuesta correcta;;
B1;Emilio;¿Cuántos artículos componen la Constitución Española?;a) 168 artículos;b) 166 artículos;c) 170 artículos;d) 169 artículos;d;; 
B1;Emilio;¿De qué se trata el Título I de la Constitución Española?;a) De los derechos fundamentales en exclusiva;b) De los deberes fundamentales en exclusiva;c) De los derechos y deberes fundamentales;d) De la corona;c;; 
B1;Emilio;¿Cuántas disposiciones adicionales tiene la Constitución Española?;a) Dos;b) Cuatro; c) Cinco;d) Tres;b;; 
B1;Emilio;Según el Artículo 7 de la Constitución Española,¿ cómo debe ser la estructura interna y funcionamiento de los sindicatos de trabajadores?;a) Horizontales;b) Asambleario y solidario;c) democrático;d) Mediante voto secreto;c;; 
B1;Emilio;¿De qué se trata el Título XI de la Constitución Española?;a) De las Relaciones entre el Gobierno y las Cortes Generales;b) De la Reforma Constitucional;c) No existe el Título XI;d) Economía y Hacienda;c;; 
B2;Emilio;¿Cuántos discos se necesitan como mínimo para montar un RAID3?;a) Cuatro;b) Dos;c) Cinco;d) Tres;d;; 
B2;Emilio;¿Cuántos discos se necesitan como mínimo para montar un RAID4?;a) Dos;b) Tres;c) Cuatro;d) Cinco;b;; 
B2;Emilio;La expresión "mañana va a llover." (sin comillas) puede almacenarse con el conjunto de caracteres ASCII?;a) No, por el punto final.;b) Sí, ya que no hay mayúsculas.;c) No.;d) Sí.;d;; 
B2;Emilio;¿Cuántos discos se necesitan como mínimo para montar un RAID0?;a) Tres;b) Dos si son de la misma capcidad y tres si son de distinta capacidad;c) Dos;d) Solo dos, pero siempre de la misma capacidad;c;; 
B2;Emilio;¿Cuál de las siguientes unidades de información es menor?;a) 100 Petabytes;b) 1 Zettabyte;c) 10 Exabytes;d) 1000000 Terabytes;a;; 
B3;Emilio;En Python 3, ¿qué sucede si hace [1,2,3] + [4,5,6]?;a) Cada número se suma con el que ocupa su misma posición en otra lista.;b) Se suman todos los números, dando como resultado 21.;c) El operador + no funciona con listas.;d) Ambas listas se combinan en una que contiene los 6 números.;d;; 
B3;Emilio;¿Qué valor estándar puede tener el campo target de un enlace HTML?;a) _bottom;b) _parent;c) _left;d) _this;b;; 
B3;Emilio;En Python 3, ¿qué carácter permite colocar un comentario?;a) -;b) #;c) ||;d) &;b;; 
B3;Emilio;¿Qué opción de git le permite inicializar un repositorio?;a) git start;b) git new;c) git init;d) git add;c;; 
B3;Emilio;¿Qué orden pertenecen al lenguaje de manipulación de datos o DML?;a) ALTER;b) DROP;c) CREATE;d) INSERT;d;; 
B4;Emilio;¿Cómo actualizaría con apt la información sobre los paquetes después de modificar la lista de fuentes?;a) apt-get update-all;b) apt-update all;c) apt-get refresh;d) apt-get-update;d;; 
B4;Emilio;En un sistema de GNU/Linux, si el comando ping se lanza sin opciones, ¿cuándo termina y sale?;a) Después de 4 pings.;b) Después de 10 pings.;c) Ninguna de las otras respuestas es correcta.;d) Cuando se pierdan paquetes;c;; 
B4;Emilio;¿Cuál es el nombre de los siguientes sistemas operativos proviene de una película?;a) HelenOS;b) Plan 9;c) Minix;d) GNU/linux;b;; 
B4;Emilio;¿Cómo se subiría mediante scp el fichero fichero.txt a la ruta /home/maria/ficheros que se encuentra en un servidor de IP 1.2.3.4, usando el usuario maria?;a) scp maria@1.2.3.4 upload fichero.txt /home/maria/ficheros/;b) scp fichero.txt maria@1.2.3.4:/home/maria/ficheros/;c) scp upload fichero.txt 1.2.3.4@maria:/home/maria/ficheros/;d) scp /home/maria/ficheros/fichero.txt maria@1.2.3.4;b;; 
B4;Emilio;¿Cuál de los siguientes algoritmos es de clave simétrica?;a) AES;b) EAS;c) SAE;d) DSA;a;; 
B1;Emilio;¿Cuándo se reformó el artículo 135 de la Constitución Española sobre la estabilidad presupuestaria?;a) 26 de septiembre de 2011;b) 26 de septiembre de 2010;c) 27 de septiembre de 2011;d) 27 de septiembre de 2010;c;;
